,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,OW%,BABIP
P1,0.2836487720525084,0.29887493919986274,0.30685857664427046,0.30499319311963413,0.2548994937671959,0.30316401338515997,0.30259474686058413,0.3025947468605842,0.29821408470397137,0.22276199198618574,0.1958727524991084,-0.06802655442051692,0.3013227622452804,0.1751601513404225
P2,-0.17087410516163282,0.11701341197693274,0.0006276030842086167,0.06270070499806794,0.352000104357307,0.07719914706868332,-0.13132769948167297,-0.131327699481673,-0.1401023327894242,0.44449140128204556,0.2678818097840809,0.5612396974866759,-0.13015403379054738,-0.40979069560577114
P3,0.24056793194953874,0.07027979019718023,0.14586182440395068,0.10669128567396345,0.027630179516177286,0.12220577919236064,-0.08439313042157373,-0.08439313042157393,-0.16764625412396852,-0.11839854833310702,-0.5090802424234044,0.5896897992135148,-0.08378143716965768,0.46749061405721315
