,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
P1,0.2732283041500736,0.30773203224935497,0.32120295119264863,0.31953106219618377,0.265334687117337,0.3194805369795153,0.29966314293797014,0.2996632544406899,0.3090491897960342,0.2533108876750044,0.0841638629341181,0.08971816118228085,0.14266083903391072,0.27954722819226857
P2,-0.11723194517799412,0.15206949361668406,0.06854277407752639,0.02801466160283493,0.3385158059183649,0.07965976215686273,-0.22390202105014487,-0.22390166634149533,-0.12069960720208582,0.37333261573776383,-0.07604749221594058,0.5799309121884351,-0.42283039462134964,-0.2482169282334899
P3,-0.3786398491530582,0.04823274709881127,-0.10032654677098382,-0.1669181648849334,0.15311643342612138,-0.05579458557558367,0.09094055507340087,0.09094061466743715,0.16644139686412993,0.19634204623331875,0.713994480823486,-0.30168402258937604,-0.32435049578219294,0.03198076158941202
