구분,투입,산출,산출,산출,효율성,효율성,효율성,효율성,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,변 수,투입과다분,투영점,준거 및 참조,준거 및 참조
DMU,X1,Y1,Y2,Y3,CRS,VRS,SE,규모수익,λ1,λ2,λ3,λ4,λ5,λ6,λ7,λ8,λ9,λ10,λ11,λ12,λ13,λ14,λ15,λ16,λ17,λ18,λ19,λ20,λ21,λ22,λ23,λ24,λ25,λ26,λ27,λ28,λ29,λ30,λ31,λ32,λ33,λ34,λ35,λ36,λ37,λ38,λ39,λ40,λ41,λ42,λ43,λ44,λ45,λ46,λ47,λ48,λ49,Sm1,Sp1,Sp2,Sp3,X1,X1,준거집단,참조횟수
박민우,38000,45,89,161,0.1274,0.3511,0.3629,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0.2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6253,0,0,0,0,0,21.2687,0,0,24655.75,13344.25,"13,24,45",0
김재환,73000,91,76,140,0.0805,0.3291,0.2446,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,0,0,0,0,0,0.7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2449,0,0,0,0,0,0,2.0942,0,48978.85,24021.15,"13,20,45",0
최재훈,12500,31,47,108,0.248,0.248,1,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,10,0,9400,3100,49,0
박경수,40000,65,43,104,0.1049,0.2464,0.4257,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222,0,0,0,0,0,0,38.7556,42.0444,30143.9,9856.1,"20,45",0
박건우,38500,64,83,146,0.1172,0.2426,0.4831,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8458,0,0,0,0,0,0,0,1.1732,29162.1,9337.9,"13,20,45",0
김헌곤,15500,46,57,122,0.2259,0.2402,0.9405,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4552,0,0.1535,0.3913,0,0,3.0537,0,11776.48,3723.52,"46,48,49",0
최정,120000,99,86,147,0.0533,0.2388,0.2232,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.3142,0,0,0,0,0,0,0.6051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806,0,0,0,0,0,0,1.8772,0,91349.3,28650.7,"13,20,45",0
이명기,22000,36,62,142,0.1853,0.2243,0.8261,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6471,0,0,0.3529,0,0,12.1765,15.7059,0,17064.64,4935.36,"45,48",0
김상수,25000,38,76,127,0.1653,0.1901,0.8695,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333,0,0,0.4667,0,0,7.3333,0,13.0667,20246.72,4753.28,"45,48",0
정수빈,24500,41,75,117,0.1665,0.1897,0.8777,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4667,0,0,0.5333,0,0,2.6667,0,21.9333,19853.28,4646.72,"45,48",0
박병호,150000,98,92,121,0.0422,0.1881,0.2243,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.4235,0,0,0,0,0,0,0.4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0,29.4663,121791.65,28208.35,"13,20,45",0
허경민,38500,60,71,137,0.1021,0.1853,0.551,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9333,0,0,0,0,0,0,11.5333,10.2667,31365.85,7134.15,"20,45",0
유강남,21000,49,44,113,0.1545,0.1615,0.9567,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1078,0.0299,0,0,0.8623,0,0,15.8922,0,17608.39,3391.61,"45,46,49",0
송광민,25000,51,50,120,0.1378,0.156,0.8833,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0.6667,0,0,15.6667,1.3333,21100.08,3899.92,"45,49",0
김현수,130000,82,75,160,0.0407,0.1559,0.2611,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0,0,0,0,0,0,0,0,0,0,0.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4225,0,0,0,0,0,0,23.4977,0,109731.75,20268.25,"13,24,45",0
최형우,150000,86,65,137,0.037,0.1419,0.2607,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3556,0,0,0,0,0,0,13.4889,3.9111,128712.2,21287.8,"20,45",0
한동민,33000,52,52,113,0.1018,0.1263,0.806,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,0,0,0,0.5556,0,0,16.5556,12.7778,28833.44,4166.56,"45,49",0
서건창,35000,41,67,128,0.105,0.1135,0.9251,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1524,0.0765,0,0.528,0.2431,0,0,0,0,31027.69,3972.31,"45,46,48,49",0
김선빈,30000,40,55,115,0.11,0.1114,0.9874,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3043,0.6957,0,3.1304,5.3478,0,26656.56,3343.44,"48,49",0
오지환,40000,53,63,119,0.0857,0.1108,0.7735,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5556,0,0,0,0.4444,0,0,8.4444,11.2222,35566.56,4433.44,"45,49",0
김성현,28000,34,45,105,0.1076,0.1107,0.972,IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,12,3,24900,3100,49,0
이재원,140000,75,33,121,0.0346,0.1093,0.3166,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,47.2,22.6,124700,15300,"20,45",0
박해민,36000,44,64,121,0.0967,0.1024,0.9443,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1304,0.0142,0,0.3242,0.5312,0,0,0,0,32312.06,3687.94,"45,46,48,49",0
황재균,120000,67,78,127,0.0361,0.0912,0.3958,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7778,0,0,0,0,0,0,3.4444,18.5556,109056.1,10943.9,"20,45",0
김강민,40000,50,54,114,0.0818,0.0908,0.9009,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,0,0,0,0.7778,0,0,8.7778,2.8889,36366.72,3633.28,"45,49",0
이대호,250000,88,48,138,0.0227,0.0895,0.2536,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111,0,0,0,0,0,0,30.1778,2.4222,227621.95,22378.05,"20,45",0
김태균,100000,62,47,132,0.04,0.0822,0.4866,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8889,0,0,0,0,0,0,35.2222,14.7778,91778.05,8221.95,"20,45",0
손아섭,150000,63,78,151,0.0289,0.0605,0.4777,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0.1236,0,0,0,0,0,0,0,0,0,0,0.0172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8592,0,0,0,0,0,0,8.723,0,140923.6,9076.4,"13,24,45",0
양의지,200000,68,61,138,0.022,0.0574,0.3833,DRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7556,0,0,0,0,0,0,20.2889,7.3111,188512.2,11487.8,"20,45",0
김재호,65000,48,51,101,0.0477,0.0477,1,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,61900,3100,49,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
