선수명,연봉,VRS_수비x,VRS_수비o,포지션,VRS_수비x,VRS_수비o,수비o-수비x,산출부족분_수비x,산출부족분_수비o,팀명
이정후키움,23000,0.5192,0.607,좌,0.1683,0.1683,0,113661,113661,키움
이지영키움,21000,0.875,0.875,포,0.3619,0.3619,0,37031.34,37031.34,키움
이창진KIA,3100,0.5134,0.6275,중,0.0227,0.0227,0,133561,133561,KIA
이천웅LG,15000,0.6764,0.6764,중,0.1642,0.1642,0,76339,76339,LG
이학주삼성,2700,0.5464,0.5969,유,0.0234,0.0234,0,112814,112814,삼성
이형종LG,17000,0.505,0.6534,좌,0.0913,0.0914,1E-04,169135,169070,LG
임병욱키움,10000,0.9532,0.9532,중,0.7622,0.7622,0,3117.9,3117.9,키움
장성우KT,9500,0.5898,0.5916,포,0.0924,0.0924,0,93296.4,93296.4,KT
장영석키움,5300,0.5882,0.7581,3,0.0506,0.0506,0,99404.6,99404.6,키움
장진혁한화,3800,0.7815,0.7815,중,0.0525,0.0525,0,68593.68,68593.68,한화
전준우롯데,50000,0.5461,0.6494,좌,0.2106,0.2106,0,187470,187470,롯데
정근우한화,70000,0.8725,0.8881,중,0.7025,0.7025,0,29650.5,29650.5,한화
정수빈두산,24500,1,1,중,1,1,0,0,0,두산
정은원한화,5500,0.5571,0.6082,2,0.0375,0.0375,0,141191,141191,한화
정의윤SK,30000,0.5585,0.7361,좌,0.174,0.174,0,142385,142385,SK
정주현LG,8800,0.7985,0.7985,2,0.1377,0.1377,0,55100.3,55100.3,LG
정훈롯데,8000,0.7959,0.9331,1,0.1372,0.1834,0.0462,50289.51,35614.01,롯데
조용호KT,4000,0.8194,0.937,우,0.3459,0.6895,0.3436,7562.95,1801.23,KT
지석훈NC,15000,0.9837,0.9837,3,0.8966,0.8966,0,1731.06,1731.06,NC
채은성LG,31000,0.5394,0.6778,우,0.1515,0.1515,0,173661,173661,LG
채태인롯데,20000,0.8408,1,1,0.3574,1,0.6426,35954,0,롯데
최영진삼성,5300,0.6624,0.7448,3,0.0715,0.0715,0,68837.5,68837.5,삼성
최원준KIA,10000,0.9565,0.9565,3,0.4698,0.4698,0,11282.92,11282.92,KIA
최재훈한화,12500,0.62,0.62,포,0.1218,0.1218,0,90161,90161,한화
최정SK,120000,0.626,0.626,3,0.48,0.48,0,130000,130000,SK
최주환두산,38500,0.7857,0.7857,2,0.684,0.684,0,17795.4,17795.4,두산
최항SK,11000,1,1,2,1,1,0,0,0,SK
최형우KIA,150000,0.7162,0.7531,좌,0.6131,0.6131,0,94642,94642,KIA
한동민SK,33000,0.5584,0.7075,우,0.2148,0.2148,0,120670,120670,SK
한동희롯데,4900,0.9174,1,3,0.3501,1,0.6499,9100.07,0,롯데
한승택KIA,6000,0.7272,0.7272,포,0.0978,0.0978,0,55360.07,55360.07,KIA
허경민두산,38500,0.6882,0.6882,3,0.3377,0.3377,0,75500,75500,두산
허일롯데,3000,0.9088,1,중,0.1085,1,0.8915,24644.5,0,롯데
황재균KT,120000,0.7081,0.7081,3,0.6107,0.6107,0,76485,76485,KT
