Name,P1,P2,P3,연차,20연봉,FA유무,salary
이정후,74.70540372365889,-198.917734585069,119.2968164547662,3,10.571316925111784,0,10.571316925111784
김하성,107.96361315694043,-544.7386336667626,377.5775606025395,6,10.915088464214607,0,10.915088464214607
정은원,77.10672378820594,-461.94626171298916,324.4286345515674,2,9.392661928770137,0,9.392661928770137
이천웅,67.58569162356018,-274.5073495012663,181.24313489754124,9,10.239959789157341,0,10.239959789157341
최정,97.84200322269815,-441.7893997067731,299.05930125970514,15,11.695247021764184,1,11.695247021764184
전준우,67.3492798302116,-162.331776908277,94.99793963305213,12,10.819778284410283,0,10.819778284410283
김현수,60.96789048287622,-121.81823982058478,66.60201062469838,14,11.77528972943772,1,11.77528972943772
박해민,58.61751547104713,-294.06913188700526,201.04994421880323,8,10.308952660644293,0,10.308952660644293
김재환,58.870084949622594,-140.71511899057265,82.29440139804029,12,11.082142548877775,0,11.082142548877775
손아섭,56.29631347134865,-145.32954347796107,86.90729135198102,13,12.206072645530174,1,12.206072645530174
유한준,54.19240322554784,-61.53558026296293,22.626433584254887,20,10.819778284410283,1,10.819778284410283
최형우,58.40619504405821,-59.44888763826916,19.30936848770922,18,11.918390573078392,1,11.918390573078392
이대호,43.92562639837326,-14.001383021698402,-9.071826071093788,19,12.429216196844383,1,12.429216196844383
오지환,85.46479019794968,-593.2530989119671,427.05296866738433,11,11.002099841204238,0,11.002099841204238
이명기,51.320208746737606,-164.24512583086303,103.62762129360799,14,10.085809109330082,0,10.085809109330082
김상수,69.08707278387583,-386.3040199812063,269.12600460028295,11,10.126631103850338,1,10.126631103850338
박찬호,68.49036262501718,-488.4411699820959,350.32282538911596,6,9.259130536145614,0,9.259130536145614
허경민,71.41003730766964,-415.2751231231777,290.47855747519526,11,10.778956289890028,0,10.778956289890028
박건우,62.33509350729784,-146.1601805779863,84.77597634633818,11,10.714417768752456,0,10.714417768752456
박병호,57.80735647787776,-25.832168835678246,-4.680052627713458,15,12.206072645530174,0,12.206072645530174
오재일,51.30245541244232,-25.732643902339348,-1.8198944474187275,15,10.757902880692196,0,10.757902880692196
박민우,78.25996023472935,-364.89134596920314,247.7158372682607,8,10.858998997563564,0,10.858998997563564
구자욱,52.3084165504702,-121.06431394128965,70.28435704937814,8,10.239959789157341,0,10.239959789157341
김민혁,42.67604560451316,-143.72034978753,91.69416995548447,6,9.104979856318357,0,9.104979856318357
채은성,52.972519730532646,-122.7409789892267,70.79656137138475,11,10.373491181781864,0,10.373491181781864
정수빈,55.19510393383767,-258.8383395236627,175.13579392244657,11,10.4341158035983,0,10.4341158035983
고종욱,47.767681860347075,-76.47138176554895,37.301495700025335,9,9.740968623038354,0,9.740968623038354
황재균,76.53018549698294,-400.80293650645916,277.464617869511,14,11.695247021764184,1,11.695247021764184
박세혁,97.88257725403682,-776.0091027854714,571.1034413298482,8,10.0519075576544,0,10.0519075576544
강백호,59.38822368013211,-95.50327105892194,46.92378196015072,2,9.95227771670556,0,9.95227771670556
이재원,91.84545241437749,-754.8506110685008,557.1883877700525,14,11.77528972943772,1,11.77528972943772
한동민,46.155999490442895,-105.54931506135182,60.902512948275074,8,10.126631103850338,0,10.126631103850338
김태균,40.03485905732475,-13.864199887358556,-7.189429434680253,19,10.819778284410283,1,10.819778284410283
박경수,59.46810556791332,-379.862572069642,268.94594845848314,17,10.596634733096073,1,10.596634733096073
서건창,55.10643625849192,-192.33139746931533,124.35605084711536,12,10.46310334047155,0,10.46310334047155
송광민,54.29014413335776,-362.4548180520018,257.70558094587557,18,10.126631103850338,1,10.126631103850338
이형종,50.23235108542784,-126.15378529621648,75.1067285900103,12,9.903487552536127,0,9.903487552536127
이성열,43.998346092610525,-60.54516592878417,27.716765351148453,17,10.819778284410283,0,10.819778284410283
김성현,68.39113217436045,-593.5182003253847,434.8742942510564,14,9.95227771670556,0,9.95227771670556
김재호,76.1706376131615,-533.9365445865055,384.5676871852194,16,11.082142548877775,1,11.082142548877775
이창진,54.13600183943449,-262.8345796988545,179.1994125094376,6,9.047821442478408,0,9.047821442478408
유강남,86.53138700528594,-700.8782056464179,517.030432754111,9,10.043249494911286,0,10.043249494911286
김헌곤,44.80795073729567,-138.1420539846156,86.68966306414967,9,9.852194258148577,0,9.852194258148577
김강민,49.77792547314503,-241.78424148976737,164.82654236218156,19,10.46310334047155,0,10.46310334047155
양의지,96.65249802434158,-535.5988336435753,380.6750851582877,14,12.206072645530174,1,12.206072645530174
이원석,55.299234820072655,-269.96910333641074,185.3781982594874,15,10.308952660644293,1,10.308952660644293
오선진,61.91269481876138,-517.5242861831887,378.34682399199585,12,9.259130536145614,0,9.259130536145614
최재훈,90.84443607432816,-741.0437028302694,546.6376009842296,12,9.903487552536127,0,9.903487552536127
김선빈,70.7860141684115,-478.3474571584916,342.9259892806852,12,10.714417768752456,0,10.714417768752456
노수광,39.072781675138046,-153.81908806498387,101.58763632168072,7,9.95227771670556,0,9.95227771670556
박석민,52.94861350760128,-178.38111697113285,115.08108183286926,16,11.156250521031495,1,11.156250521031495
이학주,68.6069407309616,-491.3331925774175,354.7899531433435,1,9.104979856318357,0,9.104979856318357
심우준,70.4884833386152,-547.1286249861357,397.3494598935289,6,9.472704636443673,0,9.472704636443673
정주현,46.85761759521096,-368.75768032972536,266.2259960538901,11,9.433483923290392,0,9.433483923290392
민병헌,54.51741169637846,-204.87452077361124,134.00765417280195,14,11.736069016284437,1,11.736069016284437
정의윤,37.207360978858404,-55.66287701686992,26.431310260873005,15,10.308952660644293,1,10.308952660644293
임병욱,37.363431020639155,-226.48571018572974,158.72034786678842,6,9.082507000466299,0,9.082507000466299
권희동,36.65210935824461,-105.48996122924395,65.4003741247067,7,9.51044496442652,0,9.51044496442652
