선수명,IP,E,March_score,kWAR_score,AHP_score
이명기,1027.3400000000001,2.0,2553.98,244.78799999999998,43.043
이범호,15.0,0.0,40.0,3.0,0.84
이상호,523.0,5.0,2055.613,195.358,44.010000000000005
이성곤,40.0,0.0,95.5,8.0,1.4400000000000002
이성규,82.0,3.0,432.608,53.230999999999995,13.041
이성열,551.0,5.0,1254.114,75.194,16.991
이성우,210.0,3.0,1648.08,206.01,76.224
이우성,268.33000000000004,1.0,552.9359999999999,56.394000000000005,10.041
이원석,739.0,13.0,2722.952,406.84299999999996,83.914
이원재,528.67,4.0,1051.222,31.934,13.777000000000001
이유찬,33.67,1.0,171.434,19.277,3.984
이인행,37.0,0.0,92.5,7.4,1.332
이인혁,21.0,0.0,55.0,5.0,0.875
이재원,1041.0,6.0,8278.032,1034.754,382.859
이정후,1142.0,2.0,2884.098,290.201,50.647
이정훈,32.0,0.0,256.0,32.0,11.84
이준수,141.67,2.0,1111.826,138.978,51.422
이지영,605.0,3.0,4810.96,601.37,222.507
이진영,40.0,0.0,104.5,9.6,1.6880000000000002
이찬건,6.0,0.0,21.0,2.4,0.402
이창열,15.0,0.0,36.0,5.4,1.116
이창진,1017.33,5.0,3594.452,406.937,69.22
이천웅,1070.3400000000001,1.0,3690.13,420.339,70.483
이학주,938.33,19.0,6278.323,716.837,196.3
이해창,103.33,1.0,815.894,101.987,37.735
이현동,7.0,1.0,11.673,0.934,0.168
이현석,9.0,0.0,72.0,9.0,3.33
이형종,756.33,2.0,1883.255,182.84199999999998,32.126000000000005
이흥련,91.0,0.0,728.0,91.0,33.67
임병욱,904.67,4.0,3118.85,356.44,59.704
임재현,11.0,0.0,10.0,1.0,0.18
임지열,30.0,2.0,91.63,12.495,2.674
장성우,911.67,5.0,7242.306,905.288,334.957
장승현,119.0,0.0,952.0,119.0,44.03
장영석,732.33,10.0,2388.04,292.803,65.309
장운호,25.0,0.0,55.5,5.0,0.9
장진혁,742.66,3.0,2052.75,216.425,37.205
전민수,131.0,0.0,301.0,27.0,4.84
전민재,1.0,0.0,4.0,0.6,0.124
전병우,100.66,2.0,312.476,21.762,6.322000000000001
전준우,1165.0,4.0,2318.764,232.726,41.806000000000004
전준호,24.0,0.0,192.0,24.0,8.88
정근우,559.0,6.0,1611.5130000000001,137.831,27.547
정범모,103.0,1.0,814.936,101.867,37.691
정병곤,77.67,1.0,461.643,49.273,11.207
정보근,89.67,0.0,717.36,89.67,33.178
정상호,64.0,0.0,512.0,64.0,23.68
정수빈,1012.67,3.0,3508.902,401.017,67.17
정은원,1192.67,13.0,7027.212,702.721,145.229
정의윤,376.0,1.0,821.72,74.05799999999999,13.33
정주현,972.0,13.0,5686.2,568.62,117.515
정준혁,24.0,0.0,44.0,4.4,0.792
정진기,42.0,0.0,101.5,8.2,1.498
정진호,271.33,0.0,713.16,70.066,12.217
정현,111.66,0.0,704.3,75.99600000000001,18.121000000000002
정훈,414.0,4.0,1042.011,63.381,15.907
조셉,357.0,4.0,706.86,0.0,7.775
조용호,328.0,0.0,891.6700000000001,84.934,14.805
조홍석,125.66,0.0,345.48,33.998,5.898
주효상,66.0,1.0,519.024,64.878,24.005
지석훈,397.0,5.0,1954.047,250.26999999999998,57.162000000000006
지성준,186.33,0.0,1490.64,186.33,68.942
채은성,886.33,2.0,2193.667,175.493,31.589
채태인,342.33,1.0,682.606,0.0,7.509
최경모,47.0,2.0,284.408,30.741,7.587
최민재,6.0,0.0,15.0,1.2,0.216
최선호,28.0,0.0,61.0,5.8,1.039
최승민,24.33,0.0,85.155,9.732,1.63
최승준,26.0,0.0,52.0,0.0,0.572
최영진,611.6700000000001,8.0,1842.2089999999998,196.761,46.499
최원준,501.0,6.0,1719.173,224.517,45.626000000000005
최윤석,32.0,2.0,185.969,21.254,5.818
최재훈,1022.67,6.0,8124.09,1015.511,375.739
최정,1154.33,14.0,4409.072,661.361,136.681
최정민,14.0,0.0,27.0,3.0,0.51
최정용,36.0,1.0,182.726,17.4,3.7359999999999998
최주환,522.0,3.0,2961.348,295.925,61.687
최준우,78.0,0.0,456.0,45.6,9.424
최진행,267.0,0.0,534.0,53.4,9.612
최항,313.0,3.0,1712.4,164.64,34.752
최형우,350.0,0.0,700.0,70.0,12.6
추재현,4.0,0.0,10.0,0.8,0.144
터커,768.0,4.0,1712.09,149.992,26.997999999999998
페게로,233.0,6.0,469.904,8.8,5.609
페르난데스,117.0,3.0,227.682,0.0,2.505
하주석,38.0,2.0,242.858,27.755,7.598
한동민,772.67,4.0,1889.178,151.134,27.204
한동희,401.0,9.0,1394.225,193.044,41.076
한승택,702.0,5.0,5571.072,696.384,257.662
한준수,39.0,0.0,312.0,39.0,14.43
해즐베이커,84.0,1.0,267.863,30.327,5.105
허경민,1083.0,8.0,4211.04,631.056,130.41799999999998
허도환,242.33,2.0,1923.131,240.391,88.945
허일,163.32999999999998,1.0,465.352,46.765,8.3
허정협,107.0,0.0,229.0,21.4,3.852
호잉,1040.34,2.0,3014.803,293.225,50.612
홍재호,49.0,1.0,290.91999999999996,29.792,6.5329999999999995
홍창기,52.0,0.0,136.5,13.4,2.3369999999999997
황대인,48.0,0.0,100.0,1.2,1.26
황윤호,297.66999999999996,6.0,1534.647,177.799,38.623000000000005
황재균,1026.67,11.0,4123.564,602.866,127.589
황진수,10.33,0.0,37.32,5.598,1.157
