,March_score,kWAR_score,AHP_score
µÎ»ê,44150.924000000006,4790.142,1259.341
KT,43859.35799999999,4754.125,1250.903
Å°¿ò,43776.81799999999,4743.974999999999,1248.977
KIA,41878.145,4562.4,1211.7470000000003
NC,45377.503,4893.407,1279.3890000000001
LG,44233.028000000006,4798.749000000001,1261.2550000000003
»ï¼º,43192.153,4660.533,1211.372
ÇÑÈ­,43364.236,4698.88,1238.058
·Ôµ¥,44110.238999999994,4790.568999999999,1271.9779999999996
SK,43729.49700000001,4743.813,1252.4129999999998
