선수명,IP,E,March_score,kWAR_score
베탄코트,386.33000000000004,10.0,1333.763,118.25
변우혁,135.0,1.0,264.138,0.0
샌즈,1073.0,5.0,2566.502,183.055
서건창,481.0,6.0,2822.508,282.251
서상우,6.0,0.0,12.0,0.0
서예일,15.33,0.0,62.0,7.8
손시헌,344.33,4.0,2362.104,269.955
손아섭,1066.67,4.0,2626.675,210.134
손주인,88.67,4.0,333.389,30.183
송광민,974.0,16.0,3697.304,554.596
송민섭,182.99,0.0,465.14,44.464
송성문,659.0,7.0,3057.333,379.51800000000003
송승환,1.0,0.0,0.0,0.0
송준석,116.0,1.0,265.75,25.18
스몰린스키,455.67,3.0,1115.252,89.22
신민재,189.32999999999998,0.0,996.655,102.932
신범수,126.67,1.0,1005.253,125.657
신본기,942.67,15.0,6323.249,723.0
신성현,115.34,2.0,282.408,16.576
신용수,54.33,4.0,296.76,32.43
심우준,1039.99,11.0,7009.965,802.905
아수아헤,385.67,3.0,2281.624,228.162
안상현,293.0,6.0,1740.1689999999999,178.25
안승한,119.0,2.0,932.008,116.501
안중열,381.67,5.0,3004.506,375.563
안치영,13.0,0.0,60.0,7.800000000000001
안치홍,805.33,11.0,4405.453,425.345
양성우,301.33000000000004,0.0,617.6600000000001,58.666
양의지,723.33,2.0,5769.28,721.16
양종민,119.67,4.0,404.862,52.629000000000005
예진원,18.0,0.0,40.5,3.6
오선우,120.67,0.0,296.675,22.934
오선진,981.67,12.0,6659.623,760.8430000000001
오윤석,482.66,5.0,1674.967,112.62299999999999
오재원,484.0,7.0,2821.464,281.48
오재일,1044.0,4.0,2079.648,0.0
오정환,76.0,1.0,374.097,41.544
오준혁,1.0,0.0,0.0,0.0
오지환,1101.0,12.0,7560.567,864.065
오태곤,793.6700000000001,9.0,1587.983,16.384999999999998
윌리엄슨,296.33000000000004,2.0,688.809,60.864
윌슨,534.67,4.0,1900.6,249.189
유강남,968.33,7.0,7684.667,960.583
유민상,285.0,3.0,564.3,0.0
유영준,10.0,0.0,24.0,1.2
유장혁,137.32999999999998,0.0,331.65999999999997,35.066
유재신,155.67000000000002,1.0,337.166,32.417
유한준,388.67,2.0,934.671,74.774
윤석민,308.66999999999996,5.0,820.429,69.633
윤수강,6.0,1.0,38.4,4.8
윤진호,250.32999999999998,2.0,1319.535,155.89
윤해진,3.0,0.0,0.0,0.0
이대형,6.0,0.0,19.5,2.2
이대호,147.67,1.0,293.568,0.0
이동훈,72.33,0.0,189.16,20.066
이명기,1027.3400000000001,2.0,2553.98,244.78799999999998
이범호,15.0,0.0,40.0,3.0
이상호,523.0,5.0,2055.613,195.358
이성곤,40.0,0.0,95.5,8.0
이성규,82.0,3.0,432.608,53.230999999999995
이성열,551.0,5.0,1254.114,75.194
이성우,210.0,3.0,1648.08,206.01
이우성,268.33000000000004,1.0,552.9359999999999,56.394000000000005
이원석,739.0,13.0,2722.952,406.84299999999996
이원재,528.67,4.0,1051.222,31.934
이유찬,33.67,1.0,171.434,19.277
이인행,37.0,0.0,92.5,7.4
이인혁,21.0,0.0,55.0,5.0
이재원,1041.0,6.0,8278.032,1034.754
이정후,1142.0,2.0,2884.098,290.201
이정훈,32.0,0.0,256.0,32.0
이준수,141.67,2.0,1111.826,138.978
이지영,605.0,3.0,4810.96,601.37
이진영,40.0,0.0,104.5,9.6
이찬건,6.0,0.0,21.0,2.4
이창열,15.0,0.0,36.0,5.4
이창진,1017.33,5.0,3594.452,406.937
이천웅,1070.3400000000001,1.0,3690.13,420.339
이학주,938.33,19.0,6278.323,716.837
이해창,103.33,1.0,815.894,101.987
이현동,7.0,1.0,11.673,0.934
이현석,9.0,0.0,72.0,9.0
이형종,756.33,2.0,1883.255,182.84199999999998
이흥련,91.0,0.0,728.0,91.0
임병욱,904.67,4.0,3118.85,356.44
임재현,11.0,0.0,10.0,1.0
임지열,30.0,2.0,91.63,12.495
장성우,911.67,5.0,7242.306,905.288
장승현,119.0,0.0,952.0,119.0
장영석,732.33,10.0,2388.04,292.803
장운호,25.0,0.0,55.5,5.0
장진혁,742.66,3.0,2052.75,216.425
전민수,131.0,0.0,301.0,27.0
전민재,1.0,0.0,4.0,0.6
전병우,100.66,2.0,312.476,21.762
전준우,1165.0,4.0,2318.764,232.726
전준호,24.0,0.0,192.0,24.0
정근우,559.0,6.0,1611.5130000000001,137.831
정범모,103.0,1.0,814.936,101.867
정병곤,77.67,1.0,461.643,49.273
정보근,89.67,0.0,717.36,89.67
정상호,64.0,0.0,512.0,64.0
정수빈,1012.67,3.0,3508.902,401.017
정은원,1192.67,13.0,7027.212,702.721
정의윤,376.0,1.0,821.72,74.05799999999999
정주현,972.0,13.0,5686.2,568.62
정준혁,24.0,0.0,44.0,4.4
정진기,42.0,0.0,101.5,8.2
정진호,271.33,0.0,713.16,70.066
정현,111.66,0.0,704.3,75.99600000000001
정훈,414.0,4.0,1042.011,63.381
조셉,357.0,4.0,706.86,0.0
조용호,328.0,0.0,891.6700000000001,84.934
조홍석,125.66,0.0,345.48,33.998
주효상,66.0,1.0,519.024,64.878
지석훈,397.0,5.0,1954.047,250.26999999999998
지성준,186.33,0.0,1490.64,186.33
채은성,886.33,2.0,2193.667,175.493
채태인,342.33,1.0,682.606,0.0
최경모,47.0,2.0,284.408,30.741
최민재,6.0,0.0,15.0,1.2
최선호,28.0,0.0,61.0,5.8
최승민,24.33,0.0,85.155,9.732
최승준,26.0,0.0,52.0,0.0
최영진,611.6700000000001,8.0,1842.2089999999998,196.761
최원준,501.0,6.0,1719.173,224.517
최윤석,32.0,2.0,185.969,21.254
최재훈,1022.67,6.0,8124.09,1015.511
최정,1154.33,14.0,4409.072,661.361
최정민,14.0,0.0,27.0,3.0
최정용,36.0,1.0,182.726,17.4
최주환,522.0,3.0,2961.348,295.925
최준우,78.0,0.0,456.0,45.6
최진행,267.0,0.0,534.0,53.4
최항,313.0,3.0,1712.4,164.64
최형우,350.0,0.0,700.0,70.0
추재현,4.0,0.0,10.0,0.8
터커,768.0,4.0,1712.09,149.992
페게로,233.0,6.0,469.904,8.8
페르난데스,117.0,3.0,227.682,0.0
하주석,38.0,2.0,242.858,27.755
한동민,772.67,4.0,1889.178,151.134
한동희,401.0,9.0,1394.225,193.044
한승택,702.0,5.0,5571.072,696.384
한준수,39.0,0.0,312.0,39.0
해즐베이커,84.0,1.0,267.863,30.327
허경민,1083.0,8.0,4211.04,631.056
허도환,242.33,2.0,1923.131,240.391
허일,163.32999999999998,1.0,465.352,46.765
허정협,107.0,0.0,229.0,21.4
호잉,1040.34,2.0,3014.803,293.225
홍재호,49.0,1.0,290.91999999999996,29.792
홍창기,52.0,0.0,136.5,13.4
황대인,48.0,0.0,100.0,1.2
황윤호,297.66999999999996,6.0,1534.647,177.799
황재균,1026.67,11.0,4123.564,602.866
황진수,10.33,0.0,37.32,5.598
