Name,P1,P2,P3,연차,20연봉,FA유무,salary
이정후,71.8505707272842,-139.0281231541915,160.29950430152883,3,10.571316925111784,0,10.571316925111784
김하성,97.82541631297812,-335.706448024692,421.6847677939751,6,10.915088464214607,0,10.915088464214607
정은원,69.4039027190186,-291.8636993014105,370.8472471968508,2,9.392661928770137,0,9.392661928770137
이천웅,63.5486890532852,-183.73480834907747,223.96633855099117,9,10.239959789157341,0,10.239959789157341
최정,90.59412906338406,-284.9304298651708,351.4477074156799,15,11.695247021764184,1,11.695247021764184
전준우,65.01890021268318,-114.63129393133912,131.55928795759965,12,10.819778284410283,0,10.819778284410283
김현수,59.14109774960714,-87.04053208311154,94.59041501151836,14,11.77528972943772,1,11.77528972943772
박해민,54.223532022392575,-193.40228224284778,242.72436705924267,8,10.308952660644293,0,10.308952660644293
김재환,56.84505412503202,-99.21355368695517,112.74033350444938,12,11.082142548877775,0,11.082142548877775
손아섭,54.189302601818866,-101.64818887480087,118.27088789128763,13,12.206072645530174,1,12.206072645530174
유한준,53.44466968263129,-50.44025341671006,47.14950213435132,20,10.819778284410283,1,10.819778284410283
최형우,57.70695609146224,-49.93107118259166,43.95019708157999,18,11.918390573078392,1,11.918390573078392
이대호,43.81623898570048,-18.027134559736865,6.284277226825528,19,12.429216196844383,1,12.429216196844383
오지환,73.97965135013676,-354.0519451001653,454.6863062924442,11,11.002099841204238,0,11.002099841204238
이명기,48.900704528277316,-111.93756086995502,132.488005765131,14,10.085809109330082,0,10.085809109330082
김상수,62.66783538761832,-245.18189382533586,309.44774204729316,11,10.126631103850338,1,10.126631103850338
박찬호,59.749918111457305,-299.18814730692696,383.2884676805179,6,9.259130536145614,0,9.259130536145614
허경민,64.49325301443088,-262.8205507834407,332.01482802374744,11,10.778956289890028,0,10.778956289890028
박건우,60.24951521562189,-103.65941176450738,118.39608947034105,11,10.714417768752456,0,10.714417768752456
박병호,57.12233344995903,-23.285091724095608,8.589259432066925,15,12.206072645530174,0,12.206072645530174
오재일,50.5109415311116,-20.945605083190248,8.550994341104863,15,10.757902880692196,0,10.757902880692196
박민우,72.25971107263094,-234.74863468863322,289.1850669643728,8,10.858998997563564,0,10.858998997563564
구자욱,50.57923368690771,-85.95570463374779,99.21837733295789,8,10.239959789157341,0,10.239959789157341
김민혁,40.54734288244965,-97.31519376002926,115.30093260261202,6,9.104979856318357,0,9.104979856318357
채은성,51.21352515276215,-86.96414220306858,97.6147690369076,11,10.373491181781864,0,10.373491181781864
정수빈,51.34617494360555,-170.96251224706646,211.27190381449046,11,10.4341158035983,0,10.4341158035983
고종욱,46.744201189054394,-57.86221490433798,60.311204067248994,9,9.740968623038354,0,9.740968623038354
황재균,69.81869024918878,-254.75717748287286,321.0305326717368,14,11.695247021764184,1,11.695247021764184
박세혁,80.2154101781121,-430.1921579361248,553.4059278892871,8,10.0519075576544,0,10.0519075576544
강백호,58.10621837388018,-72.20957877519452,76.48613091010641,2,9.95227771670556,0,9.95227771670556
이재원,74.63194715242113,-417.39399959900123,537.6527209098591,14,11.77528972943772,1,11.77528972943772
한동민,44.64157602024216,-74.69929742926979,83.31169052987019,8,10.126631103850338,0,10.126631103850338
김태균,39.867520538638296,-16.603506930696014,6.9489794503603814,19,10.819778284410283,1,10.819778284410283
박경수,53.10283228717813,-238.55935538207538,303.1811744968793,17,10.596634733096073,1,10.596634733096073
서건창,52.01434947568369,-127.14112544155094,151.99199092782976,12,10.46310334047155,0,10.46310334047155
송광민,48.211200348109784,-227.31455280685876,291.4293907756969,18,10.126631103850338,1,10.126631103850338
이형종,48.42680529281871,-88.59931110516776,102.6534124790456,12,9.903487552536127,0,9.903487552536127
이성열,43.12600073837038,-46.20954826706253,48.3955415744969,17,10.819778284410283,0,10.819778284410283
김성현,56.78899323969657,-349.48232541996447,452.5157795309564,14,9.95227771670556,0,9.95227771670556
김재호,65.81981954051616,-318.1475088153273,406.6702433247747,16,11.082142548877775,1,11.082142548877775
이창진,50.19340285281507,-172.90509146913683,216.42570723274795,6,9.047821442478408,0,9.047821442478408
유강남,70.55213231551346,-387.6927899339493,498.8319258150572,9,10.043249494911286,0,10.043249494911286
김헌곤,42.76569537047308,-94.38070280944488,112.12633163776796,9,9.852194258148577,0,9.852194258148577
김강민,46.18067927308942,-159.48946841763845,200.63182221304817,19,10.46310334047155,0,10.46310334047155
양의지,84.65784205990062,-304.69586609818555,380.95958282460606,14,12.206072645530174,1,12.206072645530174
이원석,50.846876567921385,-172.81344504708042,215.5591252812889,15,10.308952660644293,1,10.308952660644293
오선진,51.8372889608284,-305.616913692471,395.78104982334366,12,9.259130536145614,0,9.259130536145614
최재훈,73.9512366865371,-409.9835999486616,527.974250214444,12,9.903487552536127,0,9.903487552536127
김선빈,61.6043568462108,-286.6247212503811,365.1734181812674,12,10.714417768752456,0,10.714417768752456
노수광,36.77413722859623,-102.63767257937187,125.46933009442043,7,9.95227771670556,0,9.95227771670556
박석민,50.084278428779385,-118.07317371612366,140.8541598176624,16,11.156250521031495,1,11.156250521031495
이학주,59.07679901284965,-292.5232630103892,376.19218284948784,1,9.104979856318357,0,9.104979856318357
심우준,59.90005175476713,-324.85892669383816,418.56800943063786,6,9.472704636443673,0,9.472704636443673
정주현,40.62494082993044,-228.97676132360732,296.18970355263946,11,9.433483923290392,0,9.433483923290392
민병헌,51.52449796222066,-138.115112664955,169.19607023626608,14,11.736069016284437,1,11.736069016284437
정의윤,36.46674609893839,-42.373969102465104,42.78971172040758,15,10.308952660644293,1,10.308952660644293
임병욱,33.94216815071532,-146.78064062414091,186.14608996926108,6,9.082507000466299,0,9.082507000466299
권희동,35.09663871416464,-72.4389635789706,85.2290402947207,7,9.51044496442652,0,9.51044496442652
장성우,58.74361436307869,-362.15450405849595,468.8956885039032,12,9.51044496442652,0,9.51044496442652
신본기,47.995784300863846,-289.79265105689166,374.92339191527986,8,9.433483923290392,0,9.433483923290392
장영석,33.51967173900919,-122.82949191317624,153.7033790101533,11,8.922658299524402,0,8.922658299524402
안치홍,52.46529647519169,-180.68767279957464,225.0253500107596,11,10.275051108968611,0,10.275051108968611
김민성,43.68906068643932,-201.79382537193263,257.6513414052198,13,10.596634733096073,1,10.596634733096073
김태진,37.47068444165096,-113.70228524275723,141.0582504481443,6,9.104979856318357,0,9.104979856318357
강민호,57.707428425940535,-334.410145591758,431.9359844474865,16,11.736069016284437,1,11.736069016284437
오태곤,26.181574545928317,-17.058310822091226,14.95258148683298,10,9.159047077588632,0,9.159047077588632
노진혁,51.207430256269745,-233.4942047405952,297.19692285226904,8,9.546812608597396,0,9.546812608597396
김혜성,49.5832023540561,-243.77602682758925,311.53497421330957,3,9.210340371976184,0,9.210340371976184
모창민,35.056712230724266,-14.358033027650247,6.430817188084345,12,10.308952660644293,1,10.308952660644293
김주찬,26.876327008559528,-15.90522673295664,11.170350498712192,20,10.596634733096073,0,10.596634733096073
박동원,53.92156992800336,-248.64587226801973,316.76206435110134,11,10.021270588192511,0,10.021270588192511
장진혁,29.370429960068968,-92.60566323772505,114.74252961736362,4,8.66561319653451,0,8.66561319653451
김성욱,32.91139806778186,-124.51208742935059,158.37316107149843,8,9.392661928770137,0,9.392661928770137
이지영,41.16977271877852,-241.46632108570572,311.9382520903785,12,10.308952660644293,0,10.308952660644293
최주환,33.863644112700634,-124.08057584806333,155.1855396423118,14,10.203592144986466,0,10.203592144986466
류지혁,34.28514112091267,-174.7117884804727,223.85653566284336,8,9.259130536145614,0,9.259130536145614
강로한,33.90159416646296,-181.61497828021555,235.22657683553135,5,8.575462099540212,0,8.575462099540212
정근우,24.425815007588394,-61.337618982330305,74.67761375781804,15,10.46310334047155,1,10.46310334047155
한승택,39.100313252002515,-275.69531711011274,360.21178721429703,7,8.987196820661973,0,8.987196820661973
이원재,20.10100796600555,-19.659646157846574,19.48255405949097,7,8.867850063029406,0,8.867850063029406
최영진,24.473123512713187,-83.19071333832795,104.7694850849157,9,8.987196820661973,0,8.987196820661973
이상호,20.261058007385564,-80.79439187079417,101.85544196226657,10,9.210340371976184,0,9.210340371976184
최원준,17.8984849589439,-90.59313487566727,117.15551154871048,4,8.85366542803745,0,8.85366542803745
김규민,17.78143148212206,-45.80605789104213,56.275669962631376,8,8.594154232552366,0,8.594154232552366
나주환,19.880050688889213,-111.4035782434268,144.52751508094147,17,9.392661928770137,0,9.392661928770137
박승욱,19.142213436260278,-75.26274523868906,95.97428784791676,8,8.987196820661973,0,8.987196820661973
오윤석,13.539235812594672,-46.96065774679902,58.93326933994181,6,8.294049640102028,0,8.294049640102028
정훈,13.857249333542477,-28.757640724463133,34.76497557317052,14,8.764053269347762,0,8.764053269347762
박용택,14.918044821464255,-7.368288751024493,4.686225299217583,22,11.289781913656018,1,11.289781913656018
김동엽,11.643884080480285,-13.517224271039185,15.240640825157687,4,9.51044496442652,0,9.51044496442652
조용호,19.03506308240446,-38.87346431503673,45.424830676316155,6,8.85366542803745,0,8.85366542803745
김용의,11.390236376543422,-9.239186559071598,8.62242287448567,12,9.259130536145614,0,9.259130536145614
한동희,15.152805428577796,-77.53917809671584,100.57658104849286,2,8.45531778769815,0,8.45531778769815
오재원,18.425894542453523,-111.99324257534062,146.93781485371485,17,10.308952660644293,1,10.308952660644293
박계범,25.675662931885647,-113.96125793194699,146.50094463739856,6,8.612503371220562,0,8.612503371220562
유민상,17.979142110141392,-6.386666218988408,2.14483282670961,8,8.699514748210191,0,8.699514748210191
노시환,9.289928683238184,-55.59596647302443,73.26330949881785,1,8.101677747454572,0,8.101677747454572
채태인,11.11833825560371,-3.4950552776915047,1.2643235752804887,13,9.210340371976184,1,9.210340371976184
윤석민,9.646662828315103,-29.135272867854273,36.40682669590037,16,9.798127036878302,0,9.798127036878302
