선수명,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
박건우,2685,2374,779,540,162,15,62,438,359,222,7,49,323,30,40,77,60,10,0.3925233644859813,0.487363100252738,0.8798864647387192,0.29847628908187607,0.37447346251053076,0.8846611177170036,407.3533922651932,15.087162676488637,428.7059999999999,0.15922493681550126,60.98360655737705,0.6896165667166416,0.5819964520354267,0.3551263001485884
김재환,2992,2557,768,467,139,11,151,458,554,376,24,26,651,33,33,44,17,5,0.3910427807486631,0.5404771216269065,0.9315199023755696,0.31108853174362505,0.509581540868205,0.9798694232861807,454.9813726721759,16.85116195082133,529.4720000000001,0.2401251466562378,30.55952380952381,0.6968928571428571,0.6346285130105228,0.34507829977628635
허경민,2544,2265,674,510,126,9,29,337,296,166,5,56,199,31,56,77,58,26,0.35583796664019063,0.3995584988962472,0.7553964655364378,0.2600167097121476,0.2618101545253863,0.6995277449822904,300.8232895622891,11.141603317121819,314.42800000000005,0.10198675496688742,38.666666666666664,0.6356713091922006,0.4315961813775162,0.3118955512572534
정수빈,1535,1342,380,295,57,18,10,229,160,152,4,12,179,13,27,24,58,23,0.35813034891375906,0.37481371087928467,0.7329440597930437,0.25486208473101274,0.29433681073025336,0.7185332011892963,175.22632739686628,6.489863977661714,189.138,0.09165424739195233,17.058823529411764,0.7692257425742574,0.20485356560432444,0.31732418524871353
오재일,2490,2169,641,396,127,3,115,333,457,279,12,14,498,27,28,30,7,4,0.37525110486139013,0.5159059474412172,0.8911570523026073,0.29783948404792987,0.4633471645919779,0.9084507042253521,358.0466431466025,13.2609867832075,415.1859999999999,0.22037805440295072,13.19672131147541,0.7249127977392006,0.5182266137645994,0.3322804801010739
박세혁,1629,1409,377,281,69,11,16,208,192,133,1,33,255,21,53,19,24,8,0.34022556390977443,0.36621717530163234,0.7064427392114068,0.24465579758480657,0.27253371185237757,0.6666666666666666,163.7561817667272,6.065043769138044,190.70999999999998,0.09865152590489706,19.2,0.7492445141065831,0.18367712328250393,0.3114754098360656
서건창,2456,2103,619,472,115,13,19,339,237,288,5,21,273,27,44,39,70,23,0.3804838048380484,0.38849262957679503,0.7689764344148434,0.26834086957132053,0.3233475986685687,0.7736093143596378,310.2997074506643,11.492581757432012,331.106,0.09415121255349501,29.8876404494382,0.6457300739523417,0.4468736657384034,0.3264417845484222
김재호,1977,1675,469,354,83,2,30,234,236,229,6,20,266,31,51,52,23,9,0.36726342710997445,0.3856716417910448,0.7529350689010192,0.2616864526472497,0.3194029850746269,0.7245461720599842,222.1122170156193,8.2263784079859,251.02200000000005,0.10567164179104477,26.037735849056602,0.7071698306824011,0.29275888707466585,0.31134751773049646
페르난데스,1930,1698,1118,839,188,3,88,532,560,449,15,48,449,60,82,125,31,16,0.7161862527716186,0.928150765606596,1.6443370183782147,0.5543215051488773,0.7073027090694936,2.9181692094313454,811.3097472923496,30.04850915897591,776.2280000000002,0.26972909305064785,45.84873949579832,1.0630901785714286,0.8466951214490103,0.8435708435708436
박병호,1880,1550,1539,1071,260,3,205,816,912,699,35,101,935,87,109,158,31,19,0.9597866228970046,1.5612903225806452,2.52107694547765,0.8222265609488133,1.3290322580645162,17.29255319148936,1324.3973018940383,49.051751922001415,1258.9899999999998,0.5683870967741935,53.855932203389834,1.3720903413821817,0.9363766810517579,2.6841046277665996
김하성,2424,2110,2174,1479,385,13,297,1224,1323,956,46,129,1229,109,137,203,111,35,0.9863801452784504,1.6473933649289099,2.6337735102073605,0.8557194066075302,1.4355450236966825,26.850574712643677,1918.333386631793,71.0493846900664,1798.068,0.6170616113744074,161.60294117647058,1.3531878453038675,0.9686301726858133,2.7085137085137085
샌즈,706,611,2667,1777,488,22,380,1526,1671,1151,51,148,1503,127,158,243,136,48,1.946980854197349,7.101472995090016,9.048453849287364,2.651509633161311,6.220949263502455,-3.271388101983003,2941.0164460136675,108.92653503754325,2392.5460000000003,2.7364975450081825,200.31007751937983,2.6699013091641493,0.9864085982948881,-1.9973799126637555
오재원,1368,1211,304,212,58,4,30,182,171,135,1,4,321,8,18,27,40,20,0.32621502209131076,0.37985136251032203,0.7060663846016328,0.24175960056867035,0.33278282411230387,0.6698113207547169,115.22873488372079,4.267730921619289,152.58199999999997,0.1288191577208918,34.285714285714285,0.8298791451731761,0.10024101887733354,0.315668202764977
최주환,2411,2118,632,432,113,16,71,292,367,217,11,36,332,38,40,39,8,5,0.36737235367372356,0.46742209631728043,0.834794449991004,0.28217308323249574,0.36732766761095376,0.8176470588235294,331.0541719159746,12.261265626517579,365.94399999999996,0.16902738432483472,14.379746835443038,0.6878790658882402,0.47905633408137205,0.3200228180262407
강승호,862,772,187,126,40,4,17,108,104,49,1,12,220,11,29,16,11,5,0.2938388625592417,0.3704663212435233,0.6643051838027649,0.2248440684625396,0.27849740932642486,0.5907590759075908,59.10317810869276,2.1890065966182504,86.37,0.1282383419689119,13.357142857142858,1.0883214709371292,0.02847561224443425,0.31135531135531136
이정후,2933,2593,883,631,185,31,36,446,357,268,12,31,248,31,41,54,58,20,0.4043790626069107,0.47743925954492866,0.8818183221518394,0.301330393059342,0.35210181257231005,0.8940582959641256,473.1076009896533,17.52250374035753,474.6460000000001,0.13690705746239878,44.42553191489362,0.660225695637238,0.6525479470257404,0.36196581196581196
