선수명,IP,E,March_score,kWAR_score,AHP_score,팀명
박준혁,8.0,0.0,0.0,0.0,0.0,한화
박지규,45.0,1.0,236.98,25.698,5.311,LG
박찬도,92.67,0.0,237.17,20.8,3.687,삼성
박찬호,1141.0,16.0,5649.993,734.27,171.659,KIA
박한결,29.0,0.0,203.0,23.2,6.351,한화
박한이,64.33,1.0,146.328,12.383,2.229,삼성
박해민,1162.33,2.0,4025.088,456.506,76.802,삼성
박헌욱,27.0,0.0,77.5,8.0,1.3649999999999998,NC
배성근,113.0,3.0,566.8,62.547,13.929000000000002,롯데
배영섭,159.67000000000002,0.0,331.84000000000003,31.334000000000003,5.64,SK
배정대,213.33,1.0,647.867,71.337,12.109,KT
백동훈,139.0,0.0,384.995,38.266,6.626,두산
백승민,53.0,1.0,104.304,0.0,1.147,삼성
백승현,77.0,1.0,402.4,48.56,11.216,LG
백용환,104.33,2.0,817.113,102.139,37.791,KIA
백창수,106.67,0.0,226.175,21.334,3.84,한화
베탄코트,386.33,10.0,1333.763,118.25,41.94,NC
변우혁,135.0,1.0,264.138,0.0,2.906,한화
샌즈,1073.0,5.0,2566.502,183.055,36.012,키움
서건창,481.0,6.0,2822.508,282.251,58.332,키움
서상우,6.0,0.0,12.0,0.0,0.132,LG
서예일,15.33,0.0,62.0,7.8,1.612,두산
손시헌,344.33,4.0,2362.104,269.955,73.9,NC
손아섭,1066.67,4.0,2626.675,210.134,37.824,롯데
손주인,88.67,4.0,333.389,30.183,6.981000000000001,삼성
송광민,974.0,16.0,3697.304,554.596,114.616,한화
송민섭,182.99,0.0,465.14,44.464,7.806999999999999,KT
송성문,659.0,7.0,3057.333,379.518,78.566,키움
송승환,1.0,0.0,0.0,0.0,0.0,두산
송준석,116.0,1.0,265.75,25.18,4.472,삼성
스몰린스키,455.67,3.0,1115.252,89.22,16.06,NC
신민재,189.33,0.0,996.655,102.932,20.437,LG
신범수,126.67,1.0,1005.253,125.657,46.493,KIA
신본기,942.67,15.0,6323.249,723.0,196.472,롯데
신성현,115.34,2.0,282.408,16.576,4.522,두산
신용수,54.33,4.0,296.76,32.43,8.18,롯데
심우준,1039.99,11.0,7009.965,802.905,217.387,KT
아수아헤,385.67,3.0,2281.624,228.162,47.154,롯데
안상현,293.0,6.0,1740.169,178.25,39.11,SK
안승한,119.0,2.0,932.008,116.501,43.105,KT
안중열,381.67,5.0,3004.506,375.563,138.958,롯데
안치영,13.0,0.0,60.0,7.800000000000001,1.612,KT
안치홍,805.33,11.0,4405.453,425.345,89.577,KIA
양성우,301.33000000000004,0.0,617.6600000000001,58.666,10.56,한화
양의지,723.33,2.0,5769.28,721.16,266.829,NC
양종민,119.67,4.0,404.862,52.629000000000005,11.317,LG
예진원,18.0,0.0,40.5,3.6,0.648,키움
오선우,120.67,0.0,296.675,22.934,4.238,KIA
오선진,981.67,12.0,6659.623,760.8430000000001,207.194,한화
오윤석,482.66,5.0,1674.967,112.623,29.6,롯데
오재원,484.0,7.0,2821.464,281.48,58.246,두산
오재일,1044.0,4.0,2079.648,0.0,22.876,두산
오정환,76.0,1.0,374.097,41.544,8.674,KIA
오준혁,1.0,0.0,0.0,0.0,0.0,SK
오지환,1101.0,12.0,7560.567,864.065,236.538,LG
오태곤,793.6700000000001,9.0,1587.983,16.384999999999998,18.908,KT
윌리엄슨,296.33000000000004,2.0,688.809,60.864,10.876,삼성
윌슨,534.67,4.0,1900.6,249.189,53.787,롯데
유강남,968.33,7.0,7684.667,960.583,355.416,LG
유민상,285.0,3.0,564.3,0.0,6.207,KIA
유영준,10.0,0.0,24.0,1.2,0.424,NC
유장혁,137.32999999999998,0.0,331.66,35.066,6.122,한화
유재신,155.67000000000002,1.0,337.166,32.417,5.899,KIA
유한준,388.67,2.0,934.671,74.774,13.459,KT
윤석민,308.67,5.0,820.429,69.633,18.309,KT
윤수강,6.0,1.0,38.4,4.8,1.776,NC
윤진호,250.33,2.0,1319.535,155.89,34.738,LG
윤해진,3.0,0.0,0.0,0.0,0.0,KIA
이대형,6.0,0.0,19.5,2.2,0.371,KT
이대호,147.67,1.0,293.568,0.0,3.229,롯데
이동훈,72.33,0.0,189.16,20.066,3.472,한화
이명기,1027.34,2.0,2553.98,244.788,43.043,NC
이범호,15.0,0.0,40.0,3.0,0.84,KIA
이상호,523.0,5.0,2055.613,195.358,44.010000000000005,NC
이성곤,40.0,0.0,95.5,8.0,1.4400000000000002,삼성
이성규,82.0,3.0,432.608,53.231,13.041,삼성
이성열,551.0,5.0,1254.114,75.194,16.991,한화
이성우,210.0,3.0,1648.08,206.01,76.224,LG
이우성,268.33000000000004,1.0,552.9359999999999,56.394000000000005,10.041,KIA
이원석,739.0,13.0,2722.952,406.843,83.914,삼성
이원재,528.67,4.0,1051.222,31.934,13.777,NC
이유찬,33.67,1.0,171.434,19.277,3.984,두산
이인행,37.0,0.0,92.5,7.4,1.332,KIA
이인혁,21.0,0.0,55.0,5.0,0.875,NC
이재원,1041.0,6.0,8278.032,1034.754,382.859,SK
이정후,1142.0,2.0,2884.098,290.201,50.647,키움
이정훈,32.0,0.0,256.0,32.0,11.84,KIA
이준수,141.67,2.0,1111.826,138.978,51.422,KT
이지영,605.0,3.0,4810.96,601.37,222.507,키움
이진영,40.0,0.0,104.5,9.6,1.6880000000000002,KIA
이찬건,6.0,0.0,21.0,2.4,0.402,롯데
이창열,15.0,0.0,36.0,5.4,1.116,한화
이창진,1017.33,5.0,3594.452,406.937,69.22,KIA
이천웅,1070.34,1.0,3690.13,420.339,70.483,LG
이학주,938.33,19.0,6278.323,716.837,196.3,삼성
이해창,103.33,1.0,815.894,101.987,37.735,KT
이현동,7.0,1.0,11.673,0.934,0.168,삼성
이현석,9.0,0.0,72.0,9.0,3.33,SK
이형종,756.33,2.0,1883.255,182.842,32.126000000000005,LG
이흥련,91.0,0.0,728.0,91.0,33.67,두산
임병욱,904.67,4.0,3118.85,356.44,59.704,키움
임재현,11.0,0.0,10.0,1.0,0.18,SK
임지열,30.0,2.0,91.63,12.495,2.674,키움
장성우,911.67,5.0,7242.306,905.288,334.957,KT
장승현,119.0,0.0,952.0,119.0,44.03,두산
장영석,732.33,10.0,2388.04,292.803,65.309,키움
장운호,25.0,0.0,55.5,5.0,0.9,한화
장진혁,742.66,3.0,2052.75,216.425,37.205,한화
전민수,131.0,0.0,301.0,27.0,4.84,LG
전민재,1.0,0.0,4.0,0.6,0.124,두산
전병우,100.66,2.0,312.476,21.762,6.322000000000001,롯데
전준우,1165.0,4.0,2318.764,232.726,41.806,롯데
전준호,24.0,0.0,192.0,24.0,8.88,LG
정근우,559.0,6.0,1611.513,137.831,27.547,한화
정범모,103.0,1.0,814.936,101.867,37.691,NC
정병곤,77.67,1.0,461.643,49.273,11.207,두산
정보근,89.67,0.0,717.36,89.67,33.178,롯데
정상호,64.0,0.0,512.0,64.0,23.68,LG
정수빈,1012.67,3.0,3508.902,401.017,67.17,두산
정은원,1192.67,13.0,7027.212,702.721,145.229,한화
정의윤,376.0,1.0,821.72,74.05799999999999,13.33,SK
정주현,972.0,13.0,5686.2,568.62,117.515,LG
정준혁,24.0,0.0,44.0,4.4,0.792,롯데
정진기,42.0,0.0,101.5,8.2,1.498,SK
정진호,271.33,0.0,713.16,70.066,12.217,두산
정현,111.66,0.0,704.3,75.99600000000001,18.121,SK
정훈,414.0,4.0,1042.011,63.381,15.907,롯데
조셉,357.0,4.0,706.86,0.0,7.775,LG
조용호,328.0,0.0,891.6700000000001,84.934,14.805,KT
조홍석,125.66,0.0,345.48,33.998,5.898,롯데
주효상,66.0,1.0,519.024,64.878,24.005,키움
지석훈,397.0,5.0,1954.047,250.27,57.162000000000006,NC
지성준,186.33,0.0,1490.64,186.33,68.942,한화
채은성,886.33,2.0,2193.667,175.493,31.589,LG
채태인,342.33,1.0,682.606,0.0,7.509,롯데
최경모,47.0,2.0,284.408,30.741,7.587,SK
최민재,6.0,0.0,15.0,1.2,0.216,SK
최선호,28.0,0.0,61.0,5.8,1.039,삼성
최승민,24.33,0.0,85.155,9.732,1.63,NC
최승준,26.0,0.0,52.0,0.0,0.572,SK
최영진,611.6700000000001,8.0,1842.209,196.761,46.499,삼성
최원준,501.0,6.0,1719.173,224.517,45.626000000000005,KIA
최윤석,32.0,2.0,185.969,21.254,5.818,한화
최재훈,1022.67,6.0,8124.09,1015.511,375.739,한화
최정,1154.33,14.0,4409.072,661.361,136.681,SK
최정민,14.0,0.0,27.0,3.0,0.51,KIA
최정용,36.0,1.0,182.726,17.4,3.736,KIA
최주환,522.0,3.0,2961.348,295.925,61.687,두산
최준우,78.0,0.0,456.0,45.6,9.424,SK
최진행,267.0,0.0,534.0,53.4,9.612,한화
최항,313.0,3.0,1712.4,164.64,34.752,SK
최형우,350.0,0.0,700.0,70.0,12.6,KIA
추재현,4.0,0.0,10.0,0.8,0.144,키움
터커,768.0,4.0,1712.09,149.992,26.998,KIA
페게로,233.0,6.0,469.904,8.8,5.609,LG
페르난데스,117.0,3.0,227.682,0.0,2.505,두산
하주석,38.0,2.0,242.858,27.755,7.598,한화
한동민,772.67,4.0,1889.178,151.134,27.204,SK
한동희,401.0,9.0,1394.225,193.044,41.076,롯데
한승택,702.0,5.0,5571.072,696.384,257.662,KIA
한준수,39.0,0.0,312.0,39.0,14.43,KIA
해즐베이커,84.0,1.0,267.863,30.327,5.105,KIA
허경민,1083.0,8.0,4211.04,631.056,130.41799999999998,두산
