Name,P1,P2,P3,19연봉,kWAR_score,March_score,AHP_score
강경학,13.788048154685264,-0.465473918938662,2.1089207490728747,9.082507000466299,147.829,1468.641,39.993
강로한,34.53549770437008,4.300824803079507,6.734340014611681,7.9724660159745655,449.717,3910.467,105.735
강민호,56.00948484025915,-2.3186172241233933,6.526484137406671,11.736069016284437,832.738,6661.904,308.113
강백호,115.23362041806217,3.7386246391875435,1.4372159039716346,9.392661928770137,127.421,1549.2720000000002,23.109
강진성,11.097032167613028,1.4920495743033912,0.7843290335431408,8.070906088787819,26.609,276.607,4.79
고종욱,93.55130577962619,-0.07095472943733785,1.8062917981150766,9.305650551780507,102.206,1022.057,18.397
구자욱,93.99537356947658,7.754422554461135,4.25528085754317,10.308952660644293,172.499,2156.243,31.05
권희동,63.05237219283272,0.6263794317364595,3.0245581015622895,9.546812608597396,155.383,1790.107,27.914
김강민,67.11050388983861,7.287178227784793,4.819335451868291,10.596634733096073,374.764,3279.183,62.773
김규민,29.20036694985232,1.4411640596839193,4.409214615712467,8.66561319653451,104.586,1041.356,18.78
김도환,9.495587738277667,-0.016520800191500352,2.9777533593396286,7.90100705199242,298.172,2385.373,110.324
김동엽,22.32600766823805,2.3113827054724827,3.4641631194612885,9.825526011066415,25.232,252.319,4.542
김문호,9.77551433093319,-0.2163658440357962,2.054262862846186,8.987196820661973,55.011,531.097,9.43
김민성,53.24652462989151,0.627924070088992,3.9854548946132278,10.596634733096073,492.377,3282.513,101.758
김민식,8.25089174383831,-0.004678364123685412,2.6365325189802244,9.546812608597396,256.36,2050.88,94.853
김민하,16.49096016320151,2.33409093895729,2.3968507679907773,8.268731832117737,76.572,766.55,13.595
김민혁,71.46117912425592,-4.111474697052956,2.4494202975266197,8.268731832117737,215.58900000000003,2060.053,37.846
김상수,86.47889277172044,3.0656565241221743,1.9133764061489185,10.126631103850338,585.671,5856.714,121.039
김선빈,75.30738961066159,-1.1744884459270875,-0.8426212175531426,10.308952660644293,698.688,6169.599,188.25600000000003
김성욱,44.852280701705375,5.495253339592897,5.225213539075768,9.472704636443673,297.528,2638.116,49.952
김성현,50.04844353854137,-1.1521320024637658,1.597260778246404,10.239959789157341,872.849,7637.428,238.942
김용의,23.50160939147161,-0.9865830987056678,2.6517994117361674,9.047821442478408,14.4,1048.38,13.452000000000002
김재호,78.01037640221939,-0.6951206053172163,4.163103078911538,11.082142548877775,778.771,6814.244,213.188
김재환,107.93247140099415,-0.3851073461275746,7.367722080171801,11.198214720130528,202.0,2020.0,36.36
김주찬,57.238895616828984,-0.48741316890003245,0.6454848518677273,10.596634733096073,13.134,1196.829,14.084
김찬형,21.256723419158668,0.2845089433651378,0.5791024590324153,8.366370301681654,286.502,2494.48,77.129
김태균,87.46090748847277,-0.6558823687092306,4.485508152378301,11.512925464970229,0.0,444.427,4.889
김태진,58.19057794524847,3.944880403781688,2.428293536263215,8.101677747454572,262.562,2302.392,49.717
김하성,143.48326515683362,15.422288236570724,0.08975763544671721,10.373491181781864,785.83,6602.337,206.309
김헌곤,75.20052318990797,2.0352034371553147,0.30504760704732425,9.648595302907339,204.6,2023.5,36.563
김현수,116.18993418342195,-2.422372589785153,1.1682053643816952,11.77528972943772,166.4,2080.985,34.539
김형준,12.043827955887584,-0.45267352025243496,1.5957103788184654,8.070906088787819,285.523,2284.187,105.644
김혜성,58.160649813862804,-2.7241019842236156,5.164455722982942,8.85366542803745,598.641,5529.874,145.644
김회성,15.099527350862592,1.7741786332394196,1.4576422028426024,8.779557455883728,57.462,731.989,15.669
나성범,30.083988145142847,0.8856386614339862,0.44811138017407576,10.915088464214607,72.39800000000001,664.48,12.23
나종덕,-1.9850735439172482,1.666635647140063,7.830051674137433,8.366370301681654,551.103,4408.826,203.908
나주환,19.300296522215294,1.01676893941601,3.683439284121173,10.373491181781864,278.04200000000003,2774.424,58.848
나지완,18.611723731940895,-0.45565698651666525,3.745120455772143,11.002099841204238,15.6,164.0,2.8080000000000003
노수광,60.14846747621538,0.5994218258787141,3.373351032006239,10.184900011974314,234.149,2302.4880000000003,40.717
노시환,7.8132869373362,1.9393465330530764,5.4838019600036025,7.90100705199242,140.98000000000002,1443.574,37.243
노진혁,64.22854510684245,-2.937417942477415,6.063797258509297,9.210340371976184,569.7819999999999,4624.252,144.25799999999998
류지혁,38.489730734439526,-1.985436155169038,2.481002679298613,9.433483923290392,430.931,3824.39,103.05
모창민,76.23594969722727,0.6177132788636017,4.09566665436658,10.308952660644293,0.0,1080.19,11.882
민병헌,84.22409822617547,5.551724768961802,0.5228325199216906,11.736069016284437,311.7,2745.375,52.27
박건우,112.94222568811941,4.012696488716761,0.6645571997732678,10.558413520275876,209.003,2530.037,37.346
박경수,67.78650586189868,-2.7536487197252026,8.17017305736687,10.596634733096073,580.759,5807.588,120.023
박계범,30.933926394567095,3.0884360225355363,2.726656237186647,8.006367567650246,278.591,2390.958,68.78999999999999
박동원,66.41955816626071,-1.9965577101564982,2.1106317887575137,9.104979856318357,606.784,4854.272,224.51
박민우,113.0398297332539,-5.738690792970593,-2.095659962607026,10.545341438708522,547.529,5475.29,113.156
박병호,127.45310170952817,-6.149771667439845,10.398509026569688,11.918390573078392,0.0,1802.46,19.827
박석민,87.93955321278864,-2.7711663238691324,4.787277420162976,11.225243392518447,261.527,1743.51,54.049
박세혁,85.12717814441066,0.4412022574955197,2.372336582620217,9.210340371976184,1062.025,8496.2,392.949
박승욱,25.291462183564697,2.341294866919769,2.3613931601298965,8.794824928014517,181.675,2149.594,44.504000000000005
