Name,March_score,kWAR_score,AHP_score,GEN,POW,SPD,연차,20연봉
,,,8.18,,,,,
,,,217.387,,,,,
,,,47.154,,,,,
,,,39.11,,,,,
,,,43.105,,,,,
,,,138.958,,,,,
,,,1.612,,,,,
,,,89.577,,,,,
,,,10.56,,,,,
,,,266.829,,,,,
,,,11.317,,,,,
,,,0.648,,,,,
,,,4.238,,,,,
,,,207.194,,,,,
,,,29.6,,,,,
,,,58.246,,,,,
,,,22.876,,,,,
,,,8.674,,,,,
,,,0,,,,,
,,,236.538,,,,,
,,,18.908,,,,,
,,,10.876,,,,,
,,,53.787,,,,,
,,,355.416,,,,,
,,,6.207,,,,,
,,,0.424,,,,,
,,,6.122,,,,,
,,,5.899,,,,,
,,,13.459,,,,,
,,,18.309,,,,,
,,,1.776,,,,,
,,,34.738,,,,,
,,,0,,,,,
,,,0.371,,,,,
,,,3.229,,,,,
,,,3.472,,,,,
,,,43.043,,,,,
,,,0.84,,,,,
,,,44.01,,,,,
,,,1.44,,,,,
,,,13.041,,,,,
,,,16.991,,,,,
,,,76.224,,,,,
,,,10.041,,,,,
,,,83.914,,,,,
,,,13.777,,,,,
,,,3.984,,,,,
,,,1.332,,,,,
,,,0.875,,,,,
,,,382.859,,,,,
,,,50.647,,,,,
,,,11.84,,,,,
,,,51.422,,,,,
,,,222.507,,,,,
,,,1.688,,,,,
,,,0.402,,,,,
,,,1.116,,,,,
,,,69.22,,,,,
,,,70.483,,,,,
,,,196.3,,,,,
,,,37.735,,,,,
,,,0.168,,,,,
,,,3.33,,,,,
,,,32.126,,,,,
,,,33.67,,,,,
,,,59.704,,,,,
,,,0.18,,,,,
,,,2.674,,,,,
,,,334.957,,,,,
,,,44.03,,,,,
,,,65.309,,,,,
,,,0.9,,,,,
,,,37.205,,,,,
,,,4.84,,,,,
,,,0.124,,,,,
,,,6.322,,,,,
,,,41.806,,,,,
,,,8.88,,,,,
,,,27.547,,,,,
,,,37.691,,,,,
,,,11.207,,,,,
,,,33.178,,,,,
,,,23.68,,,,,
,,,67.17,,,,,
,,,145.229,,,,,
,,,13.33,,,,,
,,,117.515,,,,,
,,,0.792,,,,,
,,,1.498,,,,,
