Name,OPS,XR,FPCT,팀명,20연봉
오지환,0.71732,66.686,0.98089172,LG,60000
오태곤,0.66847,41.896,0.988549618,KT,9500
유강남,0.77185,57.204,0.991515152,LG,23000
유민상,0.849,29.02,0.990131579,KIA,6000
유영준,0.0,-0.368,1.0,NC,2800
유장혁,0.46587,3.994,1.0,한화,3200
유재신,0.66092,5.804,0.977272727,KIA,4700
유한준,0.82568,80.052,0.977011494,KT,50000
윤석민,0.54837,12.008,0.978165939,KT,18000
윤수강,0.5,-0.148,0.8,NC,3200
이대호,0.79024,72.47,0.993670886,롯데,250000
이동훈,0.6129,2.846,1.0,한화,3300
이명기,0.71257,62.992,0.992619926,NC,24000
이상호,0.61414,20.324,0.985337243,NC,10000
이성곤,0.46429,1.042,1.0,삼성,3500
이성규,0.74621,5.322,0.923076923,삼성,4300
이성열,0.80693,67.648,0.981412639,한화,50000
이성우,0.44256,2.472,0.981481481,LG,8000
이우성,0.64568,16.51,0.984126984,KIA,4000
이원석,0.76722,59.706,0.931216931,삼성,30000
이원재,0.70525,31.604,0.990049751,NC,7100
이유찬,0.46154,1.476,0.9375,두산,3200
이재원,0.71759,57.118,0.993704092,SK,130000
이정후,0.84241,92.56,0.992592593,키움,39000
이정훈,0.62381,0.942,1.0,KIA,3000
이준수,0.59179,4.172,0.981481481,KT,3800
이지영,0.63186,27.326,0.994117647,키움,30000
이진영,0.26667,-0.202,1.0,KIA,3400
이창진,0.74516,57.334,0.983974359,KIA,8500
이천웅,0.75129,75.394,0.996415771,LG,28000
이학주,0.70062,51.458,0.958605664,삼성,9000
이해창,0.31105,0.282,0.987341772,KT,5500
이현동,0.0,-0.188,0.666666667,삼성,2900
이현석,0.0,-0.27,1.0,SK,3000
이형종,0.79912,67.986,0.99047619,LG,20000
이흥련,0.74567,5.084,1.0,두산,7000
임병욱,0.61907,36.47,0.98467433,키움,8800
임지열,0.43529,0.344,0.833333333,키움,2700
장성우,0.66398,41.522,0.99270073,KT,13500
장승현,0.45864,2.506,1.0,두산,3500
장영석,0.65401,38.974,0.971590909,키움,7500
장운호,0.28182,-0.258,1.0,한화,3800
장진혁,0.66592,35.668,0.985849057,한화,5800
전민수,0.61726,7.986,1.0,LG,5000
