Name,P1,P2,P3,E/IP,Sal_19
박용택,31.5908962,-0.309217651,1.328988463,1,80000
김동엽,22.30462076,2.258473292,3.740727531,0.992327169,18500
조용호,34.18915191,-2.121491962,0.687557864,1,4000
김용의,23.48692109,-1.026320049,2.885071228,0.990138067,8500
나종덕,-2.040244184,1.544645408,7.900679496,0.991018018,4300
한동희,16.22253356,1.124312372,4.654788805,0.97755611,4900
오재원,15.05743055,3.789320417,3.951472273,0.98553719,55000
박계범,30.91870829,3.047305983,3.091499557,0.978331006,3000
유민상,38.90399858,-2.190702366,2.031027621,0.989473684,4300
채태인,23.98992667,-0.892206447,3.821619566,0.997078842,20000
윤석민,15.06098834,-0.658585833,1.852947772,0.983801471,24000
지석훈,16.328782,-0.506261721,3.171009596,0.987405542,15000
이우성,19.48402992,-0.604303518,3.779137771,0.996273246,4000
허일,19.28920118,0.31649418,1.268638176,0.993877426,3000
김찬형,21.25950306,0.277548371,0.826665976,0.991942632,4300
나지완,18.5908819,-0.51209378,3.969306294,1,60000
최항,15.71147887,-0.728488345,1.704093918,0.990415335,11000
