,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
Gen,0.27322660275904714,0.307732058526741,0.32120318299332207,0.3195319969951632,0.2653345056521791,0.31948052617034584,0.29966408648088466,0.2996640864832073,0.3090499240167028,0.25331177238933733,0.08416378161037986,0.08971205499408721,0.14266000358599418,0.27954660568453765
POW,-0.11724401599998517,0.15206752722774955,0.06854138060033477,0.02801256548002257,0.3385210614587339,0.0796658490791067,-0.22389909684395942,-0.22389909678979536,-0.12069496410187786,0.3733327262825875,-0.07603941802524898,0.5799328884743817,-0.4228257559221012,-0.24821673705069056
SPD,-0.37863335660175734,0.04823361987479741,-0.10032614874265386,-0.16692098440117506,0.15310167552625029,-0.055798182669997524,0.0909447106452004,0.09094471068802353,0.16644352237388232,0.19633816288260478,0.7139872973324717,-0.30169451992486107,-0.32436703438987313,0.03199014761672495
