,RBI,RUN,HIT,HR,SB,OPS,Money_19,kWAR_score
최원준,18.0,33.0,46.0,1.0,8.0,0.54535,10000.0,224.517
김규민,24.0,33.0,55.0,3.0,2.0,0.65733,5800.0,104.586
나주환,20.0,14.0,50.0,3.0,1.0,0.57193,32000.0,278.04200000000003
박승욱,15.0,24.0,52.0,3.0,4.0,0.60739,6600.0,181.675
오윤석,21.0,21.0,44.0,1.0,0.0,0.54212,3000.0,112.623
정훈,17.0,26.0,43.0,2.0,4.0,0.61367,8000.0,63.381
박용택,22.0,19.0,55.0,1.0,3.0,0.68312,80000.0,4.934
김동엽,25.0,15.0,42.0,6.0,2.0,0.60386,18500.0,25.232
조용호,19.0,15.0,55.0,0.0,3.0,0.72002,4000.0,84.934
김용의,17.0,35.0,39.0,0.0,8.0,0.59486,8500.0,14.4
나종덕,13.0,12.0,23.0,3.0,0.0,0.38271,4300.0,551.103
한동희,9.0,12.0,38.0,2.0,1.0,0.55395,4900.0,193.044
오재원,18.0,30.0,29.0,3.0,6.0,0.53851,55000.0,281.48
박계범,25.0,26.0,43.0,4.0,5.0,0.74044,3000.0,278.591
유민상,26.0,23.0,51.0,5.0,0.0,0.849,4300.0,0.0
노시환,13.0,19.0,33.0,1.0,2.0,0.50072,2700.0,140.98000000000002
채태인,29.0,11.0,42.0,5.0,0.0,0.70938,20000.0,0.0
윤석민,17.0,4.0,39.0,2.0,0.0,0.54837,24000.0,69.633
지석훈,15.0,15.0,34.0,2.0,0.0,0.62826,15000.0,250.27
이우성,22.0,19.0,33.0,6.0,0.0,0.64568,4000.0,56.394000000000005
허일,17.0,14.0,38.0,1.0,2.0,0.61683,3000.0,46.765
김찬형,12.0,16.0,39.0,1.0,3.0,0.67698,4300.0,286.502
나지완,17.0,12.0,24.0,6.0,0.0,0.66499,60000.0,15.6
최항,14.0,12.0,29.0,0.0,2.0,0.58963,11000.0,164.64
