,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
P1,0.0009765846719522082,0.0016162174625328207,0.0025928021344098443,0.0008435174671909131,0.0016007533757293603,0.0034555067554737054,0.6978513705503105,0.025846347057374056,0.712829945191135,0.000777674204585187,0.06393069383276576,-0.007311418863894076,0.000498892611145673,0.006477122313087404
P2,-0.002096633507657746,-0.00046753429310681174,-0.002564167777138763,-0.0010603686463808732,0.0020971190369330436,-0.0012087463686564913,-0.17862086726933796,-0.00661558767892175,0.08721273463337294,0.0009982864479385041,0.9800026471886302,-0.0038072277268106918,-0.00037556655443206214,-0.002401002530313753
P3,-0.0038760833020230713,0.0020902874657012446,-0.0017857958176218662,-0.00122166561117277,0.013806025490546062,0.0011465208532047198,-0.6924726928010284,-0.025647136763790147,0.6955334076880102,0.008675191440409019,-0.1883945407062154,-0.01610456730236919,-0.0033839491388131327,0.0015833728173069795
