Name,RBI,RUN,HIT,Money_19,Money_20
이대호,0.8461538461538463,0.42857142857142855,0.7150259067357513,1.0,1.0
박병호,0.9423076923076924,0.8214285714285714,0.6269430051813472,0.5956328346138294,0.7978164173069147
양의지,0.6538461538461539,0.5446428571428571,0.7150259067357513,0.7978164173069147,0.7978164173069147
손아섭,0.6057692307692308,0.6964285714285714,0.7823834196891192,0.5956328346138294,0.7978164173069147
최형우,0.826923076923077,0.5803571428571428,0.7098445595854923,0.5956328346138294,0.5956328346138294
김현수,0.7884615384615385,0.6696428571428571,0.8290155440414508,0.5147594015365953,0.5147594015365953
이재원,0.7211538461538461,0.29464285714285715,0.6269430051813472,0.5551961180752123,0.5147594015365953
강민호,0.4326923076923077,0.3214285714285714,0.41968911917098445,0.49454104326728676,0.49454104326728676
민병헌,0.4134615384615385,0.46428571428571425,0.5803108808290156,0.49454104326728676,0.49454104326728676
최정,0.951923076923077,0.7678571428571428,0.7616580310880829,0.4743226849979782,0.4743226849979782
황재균,0.6442307692307693,0.6964285714285714,0.6580310880829016,0.4743226849979782,0.4743226849979782
박용택,0.21153846153846156,0.16964285714285712,0.2849740932642487,0.31257581884350993,0.31257581884350993
박석민,0.7115384615384616,0.4375,0.49740932642487046,0.2923574605742014,0.27213910230489285
김재호,0.46153846153846156,0.45535714285714285,0.5233160621761658,0.25192074403558434,0.25192074403558434
김재환,0.875,0.6785714285714285,0.7253886010362695,0.284270117266478,0.25192074403558434
나지완,0.16346153846153846,0.10714285714285714,0.12435233160621761,0.23170238576627578,0.23170238576627578
오지환,0.5096153846153847,0.5625,0.616580310880829,0.15082895268904165,0.23170238576627578
김하성,1.0,1.0,0.8601036269430052,0.11847957945814801,0.21148402749696724
박민우,0.4326923076923077,0.7946428571428571,0.8341968911917099,0.14274160938131822,0.19935301253538212
나성범,0.13461538461538464,0.16964285714285712,0.1761658031088083,0.21148402749696724,0.1912656692276587
김태균,0.5961538461538461,0.4196428571428571,0.6839378238341969,0.39344925192074404,0.1912656692276587
이성열,0.8173076923076924,0.5357142857142857,0.5492227979274612,0.11847957945814801,0.1912656692276587
유한준,0.826923076923077,0.5446428571428571,0.8238341968911918,0.23170238576627578,0.1912656692276587
전준우,0.7980769230769231,0.7589285714285714,0.8497409326424871,0.1912656692276587,0.1912656692276587
허경민,0.576923076923077,0.6339285714285714,0.7098445595854923,0.14476344520824908,0.1831783259199353
오재일,0.9807692307692308,0.6785714285714285,0.7098445595854923,0.1103922361504246,0.17913465426607358
김선빈,0.38461538461538464,0.49107142857142855,0.5958549222797928,0.1103922361504246,0.17104731095835018
박건우,0.6153846153846154,0.7410714285714285,0.7564766839378239,0.14476344520824908,0.17104731095835018
김주찬,0.3076923076923077,0.3125,0.5233160621761658,0.15082895268904165,0.15082895268904165
박경수,0.625,0.3839285714285714,0.538860103626943,0.15082895268904165,0.15082895268904165
김민성,0.4807692307692308,0.39285714285714285,0.48704663212435234,0.15082895268904165,0.15082895268904165
이정후,0.6538461538461539,0.8125,1.0,0.08208653457339264,0.14678528103517993
김강민,0.4807692307692308,0.4821428571428571,0.5906735751295337,0.15082895268904165,0.1306105944197331
정근우,0.2884615384615385,0.33035714285714285,0.3989637305699482,0.27213910230489285,0.1306105944197331
서건창,0.3942307692307693,0.5982142857142857,0.6632124352331606,0.1306105944197331,0.1306105944197331
정수빈,0.3942307692307693,0.6696428571428571,0.6062176165803109,0.08815204205418521,0.1265669227658714
채은성,0.6923076923076923,0.5267857142857143,0.766839378238342,0.1144359078042863,0.11847957945814801
박해민,0.42307692307692313,0.5714285714285714,0.6269430051813472,0.13465426607359482,0.1103922361504246
정의윤,0.5673076923076923,0.39285714285714285,0.5544041450777202,0.1103922361504246,0.1103922361504246
이원석,0.7307692307692308,0.39285714285714285,0.5025906735751295,0.1103922361504246,0.1103922361504246
오재원,0.17307692307692307,0.26785714285714285,0.15025906735751296,0.21148402749696724,0.1103922361504246
모창민,0.5288461538461539,0.4375,0.538860103626943,0.1103922361504246,0.1103922361504246
이지영,0.375,0.3571428571428571,0.45077720207253885,0.07399919126566923,0.1103922361504246
안치홍,0.4711538461538462,0.40178571428571425,0.5906735751295337,0.1912656692276587,0.10634856449656288
이천웅,0.46153846153846156,0.7857142857142857,0.8704663212435233,0.04973716134249899,0.10230489284270118
구자욱,0.6826923076923077,0.5892857142857143,0.6580310880829016,0.1103922361504246,0.10230489284270118
최주환,0.4519230769230769,0.24107142857142855,0.40932642487046633,0.14476344520824908,0.09826122118883947
한동민,0.5,0.46428571428571425,0.5854922279792746,0.12252325111200972,0.09017387788111605
송광민,0.4903846153846154,0.4464285714285714,0.6217616580310881,0.09017387788111605,0.09017387788111605
김상수,0.3653846153846154,0.6785714285714285,0.6580310880829016,0.09017387788111605,0.09017387788111605
이명기,0.34615384615384615,0.5535714285714285,0.7357512953367876,0.07804286291953094,0.08613020622725436
박세혁,0.6057692307692308,0.5178571428571428,0.6373056994818653,0.029518803073190457,0.08289526890416499
유강남,0.4711538461538462,0.39285714285714285,0.5854922279792746,0.07399919126566923,0.08208653457339264
박동원,0.5288461538461539,0.4464285714285714,0.48704663212435234,0.02547513141932875,0.0800646987464618
노수광,0.2692307692307693,0.6160714285714285,0.5025906735751295,0.09623938536190862,0.07399919126566923
강백호,0.625,0.6428571428571428,0.7616580310880829,0.03760614638091387,0.07399919126566923
김성현,0.3269230769230769,0.40178571428571425,0.5440414507772021,0.10230489284270118,0.07399919126566923
김태군,0.009615384615384616,0.0,0.02072538860103627,0.08208653457339264,0.06995551961180753
