,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,wOBA,BABIP,OW%,SB
P1,0.2751929182404575,0.30904249402098993,0.3228571840978105,0.3213040443732929,0.26631823430103235,0.3194940967041638,0.2970713643791,0.2970714727817453,0.3066646946729368,0.2556747943777305,0.09746772979208575,0.139418748965629,0.2771748810544929,-0.08128661095225728
P2,-0.096804617611216,0.12679736862337,0.05749071215599702,0.02384593725353905,0.26729109956306146,0.041492464277290586,-0.22121374538703586,-0.22121347766529775,-0.13506467852006537,0.3178521071519184,0.5413321324933632,-0.37623707296878356,-0.24208412801613885,-0.43262967429125493
PC3,0.4176199104514597,-0.07662895139749219,0.09363925907624393,0.1704982128565245,-0.27033200489934744,0.008859106300984382,-0.12820457426759077,-0.12820445496988264,-0.22586764976991644,-0.30299601991312447,0.3015608486397864,0.5603408060750945,-0.07283709039300951,-0.3504343042312958
