순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
239,신성현,두산,2루수,1,0,2,0,0,0,0,0,-,0,0,0,-
239,조수행,두산,2루수,1,0,2,0,0,0,1,0,1,0,0,0,-
239,허경민,두산,2루수,1,0,2 1/3,0,0,0,1,0,1,0,0,0,-
239,황경태,두산,유격수,1,0,3,0,0,1,1,0,1,0,0,0,-
239,김문호,롯데,1루수,1,0,02월 03일,0,0,1,0,0,1,0,0,0,-
239,나원탁,롯데,1루수,1,0,2,0,0,1,0,0,1,0,0,0,-
239,오윤석,롯데,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,전준우,롯데,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,황진수,롯데,유격수,1,0,4,1,0,1,2,0,0.75,0,0,0,-
239,황진수,롯데,2루수,1,0,3,0,0,0,1,0,1,0,0,0,-
239,노진혁,NC,2루수,1,1,9,0,0,0,4,0,1,0,0,0,-
239,이원재,NC,3루수,1,0,4,0,0,0,0,0,-,0,0,0,-
239,조원빈,NC,유격수,1,0,2,0,0,0,2,0,1,0,0,0,-
239,박성한,SK,2루수,1,0,1,0,0,0,1,1,1,0,0,0,-
239,안상현,SK,2루수,1,0,3,0,0,2,1,1,1,0,0,0,-
239,윤정우,SK,1루수,1,0,1,0,0,1,0,0,1,0,0,0,-
239,이성우,SK,1루수,1,0,2,0,0,1,0,1,1,0,0,0,-
239,최정,SK,1루수,1,0,1,0,0,1,0,0,1,0,0,0,-
239,박지규,LG,1루수,1,0,3,0,0,3,0,1,1,0,0,0,-
239,백승현,LG,3루수,1,0,02월 03일,0,0,0,0,0,-,0,0,0,-
239,양원혁,LG,3루수,1,0,1,1,0,0,0,0,0,0,0,0,-
239,장시윤,LG,3루수,1,1,4,0,0,0,0,0,-,0,0,0,-
239,홍창기,LG,1루수,1,0,4,0,0,3,0,1,1,0,0,0,-
239,김민하,한화,1루수,1,0,2,0,0,0,0,0,-,0,0,0,-
239,김인환,한화,1루수,1,0,2,0,0,1,0,0,1,0,0,0,-
239,최윤석,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,강한울,삼성,3루수,1,0,3,0,0,0,0,0,-,0,0,0,-
239,김재현,삼성,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,김호재,삼성,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,백상원,삼성,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
239,안주형,삼성,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
239,조동찬,삼성,2루수,1,1,6,0,0,1,3,1,1,0,0,0,-
239,조동찬,삼성,3루수,1,1,6,0,0,1,3,0,1,0,0,0,-
239,고명성,KT,2루수,1,0,1,0,0,1,1,1,1,0,0,0,-
239,고명성,KT,3루수,1,0,1,0,0,1,0,0,1,0,0,0,-
239,남태혁,KT,1루수,1,0,6,0,0,6,0,1,1,0,0,0,-
239,오태곤,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
1,나성범,NC,우익수,142,142,1220,3,0,288,9,2,0.99,0,0,0,-
2,박해민,삼성,중견수,141,134,1198 2/3,2,0,344,4,1,0.994,0,0,0,-
3,채은성,LG,우익수,135,134,1147 2/3,3,0,264,8,1,0.989,0,0,0,-
4,이용규,한화,중견수,133,128,1069 2/3,6,0,260,5,2,0.978,0,0,0,-
5,로하스,KT,중견수,132,130,1127 2/3,3,0,258,7,0,0.989,0,0,0,-
6,호잉,한화,우익수,130,129,1098 2/3,3,0,240,9,1,0.988,0,0,0,-
6,김헌곤,삼성,좌익수,130,115,1039 1/3,0,0,232,14,5,1,0,0,0,-
8,버나디나,KIA,중견수,129,124,1026 2/3,3,0,250,5,1,0.988,0,0,0,-
9,손아섭,롯데,우익수,127,125,1068 2/3,4,0,245,5,2,0.984,0,0,0,-
10,임병욱,넥센,중견수,126,97,911 2/3,5,0,227,2,0,0.979,0,0,0,-
11,전준우,롯데,좌익수,117,109,929 2/3,3,0,174,3,0,0.983,0,0,0,-
12,김재환,두산,좌익수,116,116,926 2/3,4,0,181,8,0,0.979,0,0,0,-
13,최형우,KIA,좌익수,112,108,840 2/3,4,0,189,3,1,0.98,0,0,0,-
14,김성욱,NC,중견수,110,88,788,0,0,217,8,2,1,0,0,0,-
15,한동민,SK,우익수,102,92,755 1/3,1,0,186,5,0,0.995,0,0,0,-
16,이명기,KIA,우익수,99,93,743 2/3,2,0,181,4,1,0.989,0,0,0,-
